repository_id,scientific_description,teacher_target,fusion,prior,notes
A1_full_core,CILP core configuration,multi-criteria,concatenation,none,Reported main method
A2_original_ilp,ILP-GCN parent baseline,N/A,N/A,N/A,Parent method
A8_concat,Multi-criteria teacher with concatenation,multi-criteria,concatenation,none,Fusion-matched to task-only
A9_gated,Multi-criteria teacher with gated fusion,multi-criteria,gated,none,Ablation
A10_cross_attn,Multi-criteria teacher with cross-attention,multi-criteria,cross-attention,none,Ablation; not core
A19_no_mass,No node prior,multi-criteria,concatenation,none,Ablation
A20_analytical_mass,Analytical mass prior,multi-criteria,concatenation,analytical mass,Ablation
A23_degree_prior,Degree prior,multi-criteria,concatenation,degree,Ablation
A24_pagerank_prior,PageRank prior,multi-criteria,concatenation,PageRank,Ablation
A25_no_adversarial,No adversarial module,multi-criteria,concatenation,none,Equivalent to core path
A26_repr_disc,Representation discriminator,multi-criteria,concatenation,none,Skipped; rejected pilot
A27_mask_gan,Mask GAN,multi-criteria,concatenation,none,Skipped; rejected pilot
A28_gan_without_ilp,GAN without ILP,multi-criteria,concatenation,none,Skipped; rejected pilot
A31_single_obj_concat,Task-only counterfactual teacher,task-only,concatenation,none,Matched ablation
A31_single_obj_gated,Task-only with gated fusion,task-only,gated,none,Ablation
A32_black_hole_mass,Black Hole-inspired prior,multi-criteria,concatenation,Black Hole mass,Ablation
cailp_multi,CILP main grid key,multi-criteria,concatenation,none,JSON method key
cailp_a31,Task-only grid key,task-only,concatenation,none,JSON method key
